_id,name,password,createTime,whence,userTypeId
1,测试用户1,1,2015-01-01 00:00:00,导入,3
2,测试用户1,2,2015-01-01 00:00:00,导入,3
3,测试用户1,3,2015-01-01 00:00:00,导入,3
4,测试用户1,4,2015-01-01 00:00:00,导入,3
5,测试用户1,5,2015-01-01 00:00:00,导入,3
6,测试用户1,6,2015-01-01 00:00:00,导入,3
7,测试用户1,7,2015-01-01 00:00:00,导入,3
8,测试用户1,8,2015-01-01 00:00:00,导入,3
9,测试用户1,9,2015-01-01 00:00:00,导入,3
10,测试用户1,10,2015-01-01 00:00:00,导入,3
11,测试用户1,11,2015-01-01 00:00:00,导入,3
12,测试用户1,12,2015-01-01 00:00:00,导入,3
13,测试用户1,13,2015-01-01 00:00:00,导入,3
14,测试用户1,14,2015-01-01 00:00:00,导入,3
15,测试用户1,15,2015-01-01 00:00:00,导入,3
16,测试用户1,16,2015-01-01 00:00:00,导入,3
